asset,run_id,start,end,duration_days,side,run_return,run_log_return,max_abs_daily_return
ETH,64,2023-07-13,2023-07-16,4,1,0.02754539605105677,0.027172847483885938,0.07178928293005193
ETH,65,2023-10-02,2023-10-04,3,-1,0.05040049197246321,0.04917151237311749,0.04047897066718298
ETH,66,2023-10-28,2023-10-31,4,-1,-0.02023780077317483,-0.020445390612906688,0.01065386858481232
ETH,67,2023-11-14,2023-11-28,15,1,-0.0028839322400654455,-0.0028880987852656376,0.06574813130783852
ETH,68,2023-12-03,2023-12-08,6,1,0.08912936531448845,0.08537862965446492,0.05642353010676748
ETH,69,2023-12-09,2023-12-09,1,-1,0.007443253883560708,0.007415689563688873,0.007443253883560597
ETH,70,2023-12-11,2023-12-13,3,-1,0.03669729655538667,0.03603998360299344,0.054361666168691425
ETH,71,2023-12-15,2023-12-15,1,-1,0.04197642081514141,0.04111931429888482,0.041976420815141524
ETH,72,2024-01-12,2024-01-15,4,-1,0.03931699299891833,0.038563759905704195,0.04050173658734413
ETH,73,2024-01-17,2024-01-21,5,-1,0.05314422167346167,0.05178018642617073,0.024264882460276693
ETH,74,2024-02-09,2024-02-13,5,-1,-0.08820667516055014,-0.09234193209003466,0.060036360595147054
ETH,75,2024-02-15,2024-02-15,1,-1,-0.016730812227639058,-0.01687235321800139,0.016730812227639058
ETH,76,2024-03-05,2024-03-17,13,1,0.003299673973354844,0.0032942419950812915,0.07433596350833915
ETH,77,2024-05-20,2024-06-11,23,1,0.13883767705173056,0.13000816074601174,0.19272223475749883
ETH,78,2024-08-25,2024-09-05,12,1,-0.14503271500129622,-0.156692073936841,0.08302340092495786
ETH,79,2024-09-13,2024-09-18,6,1,0.003364944988855756,0.0033592962297621844,0.04039471590968735
ETH,80,2024-10-16,2024-10-16,1,1,0.0019493612019787498,0.0019474636630232294,0.0019493612019787498
ETH,81,2024-11-07,2024-11-13,7,1,0.17195215320181223,0.15867086540833178,0.06292423408548897
ETH,82,2024-11-15,2024-11-16,2,1,0.024297627015510637,0.02400713576872046,0.014414035918883572
ETH,83,2024-11-18,2024-11-18,1,1,0.04298093890177013,0.0420829005896754,0.04298093890177013
ETH,84,2024-11-21,2024-12-09,19,1,0.2104371359670405,0.19098156376082331,0.09942287996365606
ETH,85,2024-12-12,2024-12-17,6,1,0.01407424907665944,0.013976126429728002,0.02525776168846805
ETH,86,2025-02-23,2025-02-25,3,1,-0.09784149823733035,-0.10296505178189488,0.10898801644535905
ETH,87,2025-03-21,2025-03-27,7,1,0.010220256221423307,0.010168382544925691,0.03599453377041595
ETH,88,2025-03-29,2025-03-29,1,1,-0.03597072635426679,-0.03663361798023462,0.03597072635426679
ETH,89,2025-04-01,2025-04-01,1,1,0.044975253629213396,0.0439932043987864,0.044975253629213396
ETH,90,2025-05-29,2025-06-02,5,1,-0.028005039711117674,-0.0284046594231207,0.039014299261621144
ETH,91,2025-06-07,2025-06-07,1,1,0.019905800865118284,0.01971027093844131,0.019905800865118284
ETH,92,2025-06-10,2025-06-12,3,-1,0.006611152412420163,0.006589394587859607,0.049226047740363876
ETH,93,2025-06-25,2025-06-25,1,1,-0.011723195789307361,-0.011792454268337168,0.011723195789307361
ETH,94,2025-07-09,2025-07-12,4,-1,-0.11831645374368849,-0.12592207844888703,0.06643175827521208
ETH,95,2025-08-19,2025-08-21,3,-1,0.01315762438607182,0.013071814727595825,0.06408215951312646
ETH,96,2025-08-25,2025-08-26,2,-1,0.028646461859408,0.028243823336025223,0.08508151935728459
ETH,97,2025-09-21,2025-09-21,1,-1,0.0069019835114079164,0.006878273856458803,0.006901983511407805
ETH,98,2025-11-30,2025-12-02,3,1,0.002090592391363222,0.0020884101440204333,0.07062049558248629
